mac_id,project_name,resource_type,date,utilization_pct
mac-01,Project Atlas,cpu,2025-01-01,87.88041666666668
mac-01,Project Atlas,cpu,2025-01-02,89.13125000000001
mac-01,Project Atlas,cpu,2025-01-03,87.61541666666666
mac-01,Project Atlas,cpu,2025-01-04,88.05791666666666
mac-01,Project Atlas,cpu,2025-01-05,88.23
mac-01,Project Atlas,cpu,2025-01-06,88.93208333333332
mac-01,Project Atlas,cpu,2025-01-07,88.26166666666666
mac-01,Project Atlas,cpu,2025-01-08,88.40666666666668
mac-01,Project Atlas,cpu,2025-01-09,88.72458333333333
mac-01,Project Atlas,cpu,2025-01-10,87.66708333333334
mac-01,Project Atlas,cpu,2025-01-11,88.13625
mac-01,Project Atlas,cpu,2025-01-12,88.67666666666666
mac-01,Project Atlas,cpu,2025-01-13,89.50541666666668
mac-01,Project Atlas,cpu,2025-01-14,88.60916666666667
mac-01,Project Atlas,cpu,2025-01-15,88.88583333333334
mac-01,Project Atlas,cpu,2025-01-16,88.22333333333334
mac-01,Project Atlas,cpu,2025-01-17,88.18166666666667
mac-01,Project Atlas,cpu,2025-01-18,88.35958333333333
mac-01,Project Atlas,cpu,2025-01-19,89.31291666666668
mac-01,Project Atlas,cpu,2025-01-20,88.49333333333334
mac-01,Project Atlas,cpu,2025-01-21,87.98375
mac-01,Project Atlas,cpu,2025-01-22,89.60458333333334
mac-01,Project Atlas,cpu,2025-01-23,89.00458333333334
mac-01,Project Atlas,cpu,2025-01-24,88.35458333333334
mac-01,Project Atlas,cpu,2025-01-25,88.02666666666666
mac-01,Project Atlas,cpu,2025-01-26,89.15083333333332
mac-01,Project Atlas,cpu,2025-01-27,88.86458333333333
mac-01,Project Atlas,cpu,2025-01-28,88.65166666666666
mac-01,Project Atlas,cpu,2025-01-29,88.97416666666668
mac-01,Project Atlas,cpu,2025-01-30,88.27083333333333
mac-01,Project Atlas,cpu,2025-01-31,88.04
mac-01,Project Atlas,cpu,2025-02-01,89.09875
mac-01,Project Atlas,cpu,2025-02-02,89.76125
mac-01,Project Atlas,cpu,2025-02-03,89.08375000000001
mac-01,Project Atlas,cpu,2025-02-04,89.05166666666666
mac-01,Project Atlas,cpu,2025-02-05,89.59416666666668
mac-01,Project Atlas,cpu,2025-02-06,88.3125
mac-01,Project Atlas,cpu,2025-02-07,88.44208333333334
mac-01,Project Atlas,cpu,2025-02-08,90.375
mac-01,Project Atlas,cpu,2025-02-09,90.73916666666666
mac-01,Project Atlas,cpu,2025-02-10,88.96291666666667
mac-01,Project Atlas,cpu,2025-02-11,90.08416666666666
mac-01,Project Atlas,cpu,2025-02-12,88.86500000000001
mac-01,Project Atlas,cpu,2025-02-13,89.98333333333333
mac-01,Project Atlas,cpu,2025-02-14,90.60875
mac-01,Project Atlas,cpu,2025-02-15,89.86458333333333
mac-01,Project Atlas,cpu,2025-02-16,89.80208333333333
mac-01,Project Atlas,cpu,2025-02-17,90.07833333333333
mac-01,Project Atlas,cpu,2025-02-18,88.07291666666667
mac-01,Project Atlas,cpu,2025-02-19,89.56875000000001
mac-01,Project Atlas,cpu,2025-02-20,89.34875
mac-01,Project Atlas,cpu,2025-02-21,89.36500000000001
mac-01,Project Atlas,cpu,2025-02-22,90.38499999999999
mac-01,Project Atlas,cpu,2025-02-23,89.26041666666667
mac-01,Project Atlas,cpu,2025-02-24,89.18333333333334
mac-01,Project Atlas,cpu,2025-02-25,89.28041666666667
mac-01,Project Atlas,cpu,2025-02-26,90.32875
